model_id,edge_index,observed_grade,stored_continuity,max_c0_model_units,max_g1_angle_deg,max_g2_curvature_gap,label_source,design_intent_known
0000__00000227__STEP__Part18,1,G0_only,0,8.119316195048216e-14,90.0,16.03172291051569,computed from source STEP with OCCT 7.9,False
0000__00000227__STEP__Part18,3,G0_only,0,8.217012261699906e-14,90.0,16.03172291051569,computed from source STEP with OCCT 7.9,False
0000__00000227__STEP__Part18,4,G0_only,0,8.783423702276611e-14,90.0,8.015861455257845,computed from source STEP with OCCT 7.9,False
0000__00000227__STEP__Part18,6,G0_only,0,8.864957051708952e-14,90.0,8.015861455257845,computed from source STEP with OCCT 7.9,False
0000__00000669__STEP__Part11,1,G0_only,0,1.734723475976807e-18,90.0,0.0,computed from source STEP with OCCT 7.9,False
0000__00000669__STEP__Part11,2,G0_only,0,1.734723475976807e-18,90.0,0.0,computed from source STEP with OCCT 7.9,False
0000__00000669__STEP__Part11,3,G0_only,0,1.734723475976807e-18,90.0,0.0,computed from source STEP with OCCT 7.9,False
0000__00000669__STEP__Part11,4,G0_only,0,1.3985787785349405e-17,90.0,0.0,computed from source STEP with OCCT 7.9,False
0000__00000669__STEP__Part11,5,G0_only,0,0.0,90.0,0.0,computed from source STEP with OCCT 7.9,False
0000__00000669__STEP__Part11,6,G0_only,0,2.7755575615628914e-17,90.0,0.0,computed from source STEP with OCCT 7.9,False
0000__00000669__STEP__Part11,7,G0_only,0,0.0,90.0,0.0,computed from source STEP with OCCT 7.9,False
0000__00000669__STEP__Part11,8,G0_only,0,0.0,90.0,0.0,computed from source STEP with OCCT 7.9,False
0000__00000669__STEP__Part11,9,G0_only,0,1.3877787807814457e-17,90.0,0.0,computed from source STEP with OCCT 7.9,False
0000__00000669__STEP__Part11,10,G0_only,0,1.3877787807814457e-17,90.0,0.0,computed from source STEP with OCCT 7.9,False
0000__00000669__STEP__Part11,11,G0_only,0,0.0,90.0,0.0,computed from source STEP with OCCT 7.9,False
